Sender,Recipient,SenderLat,SenderLong,RecLat,RecLong,Date
Whitman; Walt,Whitman; George Washington,40.67815,-73.9445,37.11355,-76.487,1861-07-12
Whitman; Walt,Lowell; James Russell,40.67815,-73.9445,42.35876,-71.0638,1861-10-01
Whitman; Walt,Lowell; James Russell,40.67815,-73.9445,42.35876,-71.0638,1861-10-02
Editors of the Atlantic Monthly,Whitman; Walt,42.35876,-71.0638,40.67815,-73.9445,1861-10-10
Whitman; Walt,Breese; Samuel Livingston,40.67815,-73.9445,40.67815,-73.9445,1861-11-01
Soule; Silas S.,Whitman; Walt,39.73924,-104.99,40.67815,-73.9445,1862-01-08
Soule; Silas S.,Whitman; Walt,39.73924,-104.99,40.67815,-73.9445,1862-03-12
Eyre; Ellen,Whitman; Walt,40.68005,-73.9432,40.67815,-73.9445,1862-03-25
Vaughan; Fred,Whitman; Walt,42.35876,-71.0638,40.67815,-73.9445,1862-05-02
Redpath; James,Whitman; Walt,42.35876,-71.0638,40.67815,-73.9445,1862-05-26
Thayer; William Wilde,Whitman; Walt,42.35876,-71.0638,40.67815,-73.9445,1862-08-31
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1862-12-19
Whitman; Walt,Emerson; Ralph Waldo,38.89618,-77.0365,42.88616,-78.8767,1862-12-29
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1862-12-29
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-01-01
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-01-03
Emerson; Ralph Waldo,Whitman; Walt,42.88616,-78.8767,38.89618,-77.0365,1863-01-12
Whitman; George Washington,Whitman; Walt,37.11355,-76.487,38.89618,-77.0365,1863-01-13
Wood; George,Whitman; Walt,38.89618,-77.0365,38.89618,-77.0365,1863-01-15
Whitman; Walt,Whitman; Thomas Jefferson,38.89618,-77.0365,40.67815,-73.9445,1863-01-16
Whitman; Walt,Wood; George,38.89618,-77.0365,38.89618,-77.0365,1863-01-17
Whitman; Walt,Emerson; Ralph Waldo,38.89618,-77.0365,42.88616,-78.8767,1863-01-17
Lane; Moses,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-01-26
Whitman; George Washington,Whitman; Walt,37.11355,-76.487,38.89618,-77.0365,1863-02-01
Whitman; George Washington,Whitman; Walt,37.11355,-76.487,38.89618,-77.0365,1863-02-06
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-02-06
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1863-02-06
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1863-02-09
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-02-10
Whitman; George Washington,Whitman; Walt,37.11355,-76.487,38.89618,-77.0365,1863-02-12
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-02-12
Whitman; Walt,Whitman; Thomas Jefferson,38.89618,-77.0365,40.67815,-73.9445,1863-02-13
Whitman; Walt,Swinton; John,38.89618,-77.0365,40.68005,-73.9432,1863-02-23
Whitman; George Washington,Whitman; Walt,37.11355,-76.487,38.89618,-77.0365,1863-02-25
Swinton; John,Whitman; Walt,40.68005,-73.9432,38.89618,-77.0365,1863-02-25
Harpers Weekly,Whitman; Walt,40.68005,-73.9432,38.89618,-77.0365,1863-02-26
Whitman; Louisa Van Velsor,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-03-01
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-03-03
Whitman; Walt,Whitman; Thomas Jefferson,38.89618,-77.0365,40.67815,-73.9445,1863-03-06
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1863-03-08
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-03-09
Redpath; James,Whitman; Walt,42.35876,-71.0638,38.89618,-77.0365,1863-03-10
Boyd; Justus F.,Whitman; Walt,42.73541,-83.9824,38.89618,-77.0365,1863-03-10
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-03-12
Whitman; Walt,Whitman; Thomas Jefferson,38.89618,-77.0365,40.67815,-73.9445,1863-03-18
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-03-19
Whitman; Walt,Bloom; Nathaniel; Gray; John F. S.,38.89618,-77.0365,40.68005,-73.9432,1863-03-19
Whitman; Louisa Van Velsor,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-03-19
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-03-21
Kingsley; Charles S.,Whitman; Walt,40.68005,-73.9432,38.89618,-77.0365,1863-03-21
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1863-03-31
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-04-02
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-04-03
Wallace; Will W.,Whitman; Walt,36.16266,-86.7816,38.89618,-77.0365,1863-04-05
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-04-06
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-04-11
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-04-13
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1863-04-15
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-04-20
Whitman; Walt,Sawyer; Thomas P.,38.89618,-77.0365,40.68005,-73.9432,1863-04-21
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-04-25
Sawyer; Thomas P.,Whitman; Walt,40.68005,-73.9432,38.89618,-77.0365,1863-04-26
Whitman; Walt,Sawyer; Thomas P.,38.89618,-77.0365,40.68005,-73.9432,1863-04-26
Boyd; Justus F.,Whitman; Walt,42.73541,-83.9824,38.89618,-77.0365,1863-04-27
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1863-04-28
McReady; Fred B.,Whitman; Walt,37.99014,-84.1797,38.89618,-77.0365,1863-04-29
Whitman; Louisa Van Velsor,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-04-29
Gray; John F.S.,Whitman; Walt,40.68005,-73.9432,38.89618,-77.0365,1863-05-01
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-05-02
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1863-05-05
Redpath; James,Whitman; Walt,42.35876,-71.0638,38.89618,-77.0365,1863-05-05
Wallace; Will W.,Whitman; Walt,40.68005,-73.9432,38.89618,-77.0365,1863-05-07
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-05-09
Whitman; Walt,Lane; Moses,38.89618,-77.0365,40.67815,-73.9445,1863-05-11
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-05-12
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1863-05-13
Whitman; Walt,Wyckoff; Nicholas; Northrup; Daniel L.,38.89618,-77.0365,40.67815,-73.9445,1863-05-14
Boyd; Justus F.,Whitman; Walt,42.73541,-83.9824,38.89618,-77.0365,1863-05-14
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1863-05-19
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1863-05-26
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-05-27
Lane; Moses,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-05-27
Whitman; Walt,Sawyer; Thomas P.,38.89618,-77.0365,40.68005,-73.9432,1863-05-27
Barker; John J.,Whitman; Walt,36.16266,-86.7816,38.89618,-77.0365,1863-06-05
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1863-06-09
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-06-13
Barker; John J.,Whitman; Walt,36.16266,-86.7816,38.89618,-77.0365,1863-06-19
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1863-06-22
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1863-06-30
Wallace; Will W.,Whitman; Walt,36.16266,-86.7816,38.89618,-77.0365,1863-07-01
Whitman; Louisa Van Velsor,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-07-01
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-07-07
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1863-07-07
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-07-08
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1863-07-10
Brown; Lewis K.,Whitman; Walt,38.89618,-77.0365,38.89618,-77.0365,1863-07-10
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1863-07-15
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-07-19
Small; Alvah H.,Whitman; Walt,41.24119,-77.0011,38.89618,-77.0365,1863-07-24
Whitman; Walt,Haskell; Samuel B.,38.89618,-77.0365,43.48,-72.3866,1863-07-27
Brown; Lewis K.,Whitman; Walt,38.89618,-77.0365,38.89618,-77.0365,1863-07-27
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1863-07-28
Vandemark; William E.,Whitman; Walt,43.16103,-77.6109,38.89618,-77.0365,1863-07-31
Whitman; Walt,Brown; Lewis K.,38.89618,-77.0365,38.89618,-77.0365,1863-08-01
Whitman; Walt,Sawyer; Thomas P.,38.89618,-77.0365,40.68005,-73.9432,1863-08-01
Whitman; Louisa Van Velsor,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-08-01
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-08-04
Whitman; Walt,Redpath; James,38.89618,-77.0365,42.35876,-71.0638,1863-08-06
Whitman; Walt,Fritsch; Hugo,38.89618,-77.0365,40.68005,-73.9432,1863-08-07
Whitman; Walt,Haskell; Samuel B.,38.89618,-77.0365,43.48,-72.3866,1863-08-10
Brown; Lewis K.,Whitman; Walt,38.89618,-77.0365,38.89618,-77.0365,1863-08-10
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1863-08-11
Whitman; Walt,Brown; Lewis K.,38.89618,-77.0365,38.89618,-77.0365,1863-08-11
Whitman; Walt,Bloom; Nathaniel,38.89618,-77.0365,40.68005,-73.9432,1863-08-15
Whitman; Walt,Brown; Lewis K.,38.89618,-77.0365,38.89618,-77.0365,1863-08-15
Vandemark; William E.,Whitman; Walt,43.16103,-77.6109,38.89618,-77.0365,1863-08-17
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1863-08-18
Babbitt; Mary A.; Babbitt; Caleb H.,Whitman; Walt,42.42291,-72.1051,38.89618,-77.0365,1863-08-18
Brown; Lewis K.,Whitman; Walt,38.89618,-77.0365,38.89618,-77.0365,1863-08-22
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1863-08-25
Scott; C.L.,Whitman; Walt,38.89618,-77.0365,38.89618,-77.0365,1863-08-31
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1863-09-01
Whitman; Walt,Babbitt; Mary A.,38.89618,-77.0365,42.42291,-72.1051,1863-09-03
Whitman; Louisa Van Velsor,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-09-03
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-09-05
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-09-05
Whitman; Walt,Bloom; Nathaniel,38.89618,-77.0365,40.68005,-73.9432,1863-09-05
Babbitt; Mary A.,Whitman; Walt,42.42291,-72.1051,38.89618,-77.0365,1863-09-06
Whitman; Walt,Gregg; Miss,38.89618,-77.0365,38.89618,-77.0365,1863-09-07
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1863-09-08
Whitman; Walt,Haskell; Samuel B.,38.89618,-77.0365,43.48,-72.3866,1863-09-09
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1863-09-15
Whitman; Walt,Smith; Bethuel,38.89618,-77.0365,40.20101,-77.2003,1863-09-16
Smith; Bethuel,Whitman; Walt,40.20101,-77.2003,38.89618,-77.0365,1863-09-17
Smith; Bethuel,Whitman; Walt,40.20101,-77.2003,38.89618,-77.0365,1863-09-17
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1863-09-18
Babbitt; Caleb H.,Whitman; Walt,42.42291,-72.1051,38.89618,-77.0365,1863-09-18
Russell; Le Baron,Whitman; Walt,42.35876,-71.0638,38.89618,-77.0365,1863-09-21
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-09-22
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-09-24
Whitman; Louisa Van Velsor,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-09-25
Smith; Bethuel,Whitman; Walt,40.20101,-77.2003,38.89618,-77.0365,1863-09-28
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1863-09-29
Whitman; Walt,Davis; William S.,38.89618,-77.0365,42.26259,-71.8023,1863-10-01
Curtis; Margaret S.,Whitman; Walt,42.35876,-71.0638,38.89618,-77.0365,1863-10-01
Whitman; Louisa Van Velsor,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-10-01
Whitman; Walt,Curtis; Margaret S.,38.89618,-77.0365,42.35876,-71.0638,1863-10-04
Russell; Le Baron,Whitman; Walt,42.35876,-71.0638,38.89618,-77.0365,1863-10-04
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1863-10-06
Russell; Le Baron,Whitman; Walt,42.35876,-71.0638,38.89618,-77.0365,1863-10-06
Stevenson; Hannah E.,Whitman; Walt,42.35876,-71.0638,38.89618,-77.0365,1863-10-06
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-10-07
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-10-08
Whitman; Walt,Fritsch; Hugo,38.89618,-77.0365,40.68005,-73.9432,1863-10-08
Whitman; Walt,Stevenson; Hannah E.,38.89618,-77.0365,42.35876,-71.0638,1863-10-08
Whitman; Walt,Redpath; James,38.89618,-77.0365,42.35876,-71.0638,1863-10-12
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1863-10-13
Smith; Bethuel,Whitman; Walt,38.89618,-77.0365,38.89618,-77.0365,1863-10-13
Stillwell; Julia,Whitman; Walt,39.95205,-75.162,38.89618,-77.0365,1863-10-13
Redpath; James,Whitman; Walt,42.35876,-71.0638,38.89618,-77.0365,1863-10-14
Redpath; James,Whitman; Walt,42.35876,-71.0638,38.89618,-77.0365,1863-10-14
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-10-15
Babbitt; Caleb H.,Whitman; Walt,42.42291,-72.1051,38.89618,-77.0365,1863-10-18
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1863-10-20
Stillwell; John; Stillwell; Margaret,Whitman; Walt,39.95205,-75.162,38.89618,-77.0365,1863-10-20
Whitman; Walt,Stilwell; Julia Elizabeth,38.89618,-77.0365,39.95205,-75.162,1863-10-21
Whitman; Walt,Redpath; James,38.89618,-77.0365,42.35876,-71.0638,1863-10-21
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-10-22
Stillwell; Margaret,Whitman; Walt,39.95205,-75.162,38.89618,-77.0365,1863-10-25
Childs; S.H.; Babbitt; Caleb H.,Whitman; Walt,42.35876,-71.0638,38.89618,-77.0365,1863-10-26
Whitman; Louisa Van Velsor,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-10-26
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1863-10-27
Whitman; Walt,Curtis; Margaret S.,38.89618,-77.0365,42.35876,-71.0638,1863-10-28
Redpath; James,Whitman; Walt,42.35876,-71.0638,38.89618,-77.0365,1863-10-28
Whitman; Louisa Van Velsor,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-11-01
Vandemark; William E.,Whitman; Walt,40.9061,-73.7852,38.89618,-77.0365,1863-11-02
Brown; Lewis K.,Whitman; Walt,38.89618,-77.0365,38.89618,-77.0365,1863-11-05
Fox; Elijah Douglass,Whitman; Walt,38.89618,-77.0365,38.89618,-77.0365,1863-11-07
Whitman; Walt,Brown; Lewis K.,40.67815,-73.9445,38.89618,-77.0365,1863-11-08
Russell; Le Baron,Whitman; Walt,42.35876,-71.0638,40.67815,-73.9445,1863-11-08
O'Connor; Ellen M.,Whitman; Walt,38.89618,-77.0365,40.67815,-73.9445,1863-11-10
Fox; Elijah Douglass,Whitman; Walt,38.89618,-77.0365,40.67815,-73.9445,1863-11-10
McFarland; William H.,Whitman; Walt,43.0125,-89.2898,40.67815,-73.9445,1863-11-11
Brown; Lewis K.,Whitman; Walt,40.67815,-73.9445,40.67815,-73.9445,1863-11-13
Whitman; Walt,O'Connor; Ellen M.,40.67815,-73.9445,38.89618,-77.0365,1863-11-15
Whitman; Walt,Eldridge; Charles W.,40.67815,-73.9445,42.35876,-71.0638,1863-11-17
Whitman; Walt,Sawyer; Thomas P.,40.67815,-73.9445,40.68005,-73.9432,1863-11-20
Whitman; Walt,Fox; Elijah Douglass,40.67815,-73.9445,42.2012,-85.58,1863-11-21
O'Connor; Ellen M.,Whitman; Walt,38.89618,-77.0365,40.67815,-73.9445,1863-11-21
Brooks; Livingston J.,Whitman; Walt,39.95258,-75.1652,40.67815,-73.9445,1863-11-21
O'Connor; Ellen M.,Whitman; Walt,38.89618,-77.0365,40.67815,-73.9445,1863-11-24
Whitman; Walt,Russell; Le Baron,38.89618,-77.0365,42.35876,-71.0638,1863-12-03
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-12-03
Whitman; Louisa Van Velsor,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-12-05
Whitman; Walt,Whitman; George Washington,38.89618,-77.0365,37.11355,-76.487,1863-12-06
Vandemark; William E.,Whitman; Walt,40.9061,-73.7852,38.89618,-77.0365,1863-12-07
Fox; Elijah Douglass,Whitman; Walt,41.0192,-89.944,38.89618,-77.0365,1863-12-09
Shillaber; Benjamin Penhallow,Whitman; Walt,42.35876,-71.0638,38.89618,-77.0365,1863-12-10
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-12-15
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1863-12-15
Smith; Bethuel,Whitman; Walt,38.47336,-77.9944,38.89618,-77.0365,1863-12-16
Vandemark; William E.,Whitman; Walt,40.9061,-73.7852,38.89618,-77.0365,1863-12-16
Trowbridge; John T.,Whitman; Walt,42.35876,-71.0638,38.89618,-77.0365,1863-12-21
Brooks; Livingston J.,Whitman; Walt,39.95258,-75.1652,38.89618,-77.0365,1863-12-22
Bush; Alonzo S.,Whitman; Walt,34.2284,-92.0032,38.89618,-77.0365,1863-12-22
Fox; Elijah Douglass,Whitman; Walt,41.0192,-89.944,38.89618,-77.0365,1863-12-24
Vandemark; William E.,Whitman; Walt,40.55646,-78.0978,38.89618,-77.0365,1863-12-25
Whitman; Louisa Van Velsor,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-12-25
Whitman; Walt,Trowbridge; John Townsend,38.89618,-77.0365,42.35876,-71.0638,1863-12-27
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1863-12-28
Stillwell; Margaret,Whitman; Walt,39.95205,-75.162,38.89618,-77.0365,1863-12-28
Vandemark; William E.,Whitman; Walt,40.55646,-78.0978,38.89618,-77.0365,1863-12-29
Trowbridge; John T.,Whitman; Walt,42.35876,-71.0638,38.89618,-77.0365,1863-12-30
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,38.89618,-77.0365,1864-01-08
Millis Sr.; William H.,Whitman; Walt,38.74261,-75.6044,38.89618,-77.0365,1864-01-09
Sawyer; Thomas P.,Whitman; Walt,40.68005,-73.9432,38.89618,-77.0365,1864-01-21
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1864-01-29
Whitman; Walt,Russell; Le Baron,38.89618,-77.0365,42.35876,-71.0638,1864-02-01
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1864-02-02
Neat; Thomas B.,Whitman; Walt,40.68005,-73.9432,38.89618,-77.0365,1864-02-02
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1864-02-05
Whitman; Walt,Trowbridge; John Townsend,38.473,-77.9963,42.35876,-71.0638,1864-02-08
Bush; Alonzo S.,Whitman; Walt,34.2284,-92.0032,38.89618,-77.0365,1864-02-11
Whitman; Walt,Whitman; Louisa Van Velsor,38.89618,-77.0365,40.67815,-73.9445,1864-02-12
Trowbridge; John T.,Whitman; Walt,42.35876,-71.0638,38.89618,-77.0365,1864-02-12
