Sender,Recipient,sender.group,receiver.group,SenderLat,SenderLong,RecLat,RecLong,Date
Whitman; Louisa Van Velsor,Whitman; Walt,2,1,40.678145,-73.944467,42.358761,-71.063832,1860-04-04
Sammis; O. K.,Whitman; Walt,3,1,40.678145,-73.944467,42.358761,-71.063832,1860-04-06
Vaughan; Fred,Whitman; Walt,3,1,40.680048,-73.94318,42.358761,-71.063832,1860-04-09
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,42.358761,-71.063832,1860-04-16
Baker; Frederick,Whitman; Walt,3,1,40.680048,-73.94318,42.358761,-71.063832,1860-04-23
Whitman; Walt,Baker; Frederick,1,3,42.358761,-71.063832,40.680048,-73.94318,1860-04-24
Vaughan; Fred,Whitman; Walt,3,1,40.680048,-73.94318,42.358761,-71.063832,1860-04-30
Whitman; Walt,Thayer & Eldridge,1,5,40.678145,-73.944467,42.358761,-71.063832,1860-05-01
Whitman; Walt,Whitman; Thomas Jefferson,1,2,42.358761,-71.063832,40.678145,-73.944467,1860-05-10
Clapp; Jr.; Henry,Whitman; Walt,5,1,40.680048,-73.94318,42.358761,-71.063832,1860-05-12
Clapp Jr.; Henry,Whitman; Walt,5,1,40.680048,-73.94318,42.358761,-71.063832,1860-05-14
Vaughan; Fred,Whitman; Walt,3,1,40.680048,-73.94318,42.358761,-71.063832,1860-05-17
Heyde; Charles L.,Whitman; Walt,3,1,44.475929,-73.212229,42.358761,-71.063832,1860-05-18
Vaughan; Fred,Whitman; Walt,3,1,42.358761,-71.063832,42.358761,-71.063832,1860-05-21
Thayer & Eldridge,Whitman; Walt,5,1,42.358761,-71.063832,40.678145,-73.944467,1860-05-24
Thayer; William Wilde,Whitman; Walt,3,1,42.358761,-71.063832,40.678145,-73.944467,1860-06-05
Whitman; Walt,Clapp; Henry Jr.,1,3,40.678145,-73.944467,40.680048,-73.94318,1860-06-12
Thayer & Eldridge,Whitman; Walt,5,1,42.358761,-71.063832,40.678145,-73.944467,1860-06-14
Redpath; James,Whitman; Walt,3,1,42.425096,-71.066163,40.678145,-73.944467,1860-06-25
Smith; Susan Garnet,Whitman; Walt,3,1,41.763505,-72.684722,40.678145,-73.944467,1860-07-11
Thayer & Eldridge,Whitman; Walt,5,1,42.358761,-71.063832,40.678145,-73.944467,1860-07-27
Whitman; Walt,Thayer & Eldridge,1,5,40.678145,-73.944467,42.358761,-71.063832,1860-08-01
Walton; Wilhelmina,Whitman; Walt,3,1,41.763711,-72.685093,40.678145,-73.944467,1860-08-16
Thayer & Eldridge,Whitman; Walt,5,1,42.358761,-71.063832,40.678145,-73.944467,1860-08-17
Thayer & Eldridge,Whitman; Walt,5,1,42.358761,-71.063832,40.678145,-73.944467,1860-10-11
Thayer & Eldridge,Whitman; Walt,5,1,42.358761,-71.063832,40.678145,-73.944467,1860-10-15
Thayer & Eldridge [DUPLICATE],Whitman; Walt,5,1,42.358761,-71.063832,40.678145,-73.944467,1860-10-15
Thayer & Eldridge,Whitman; Walt,5,1,42.358761,-71.063832,40.678145,-73.944467,1860-12-01
Thayer & Eldridge,Whitman; Walt,5,1,42.358761,-71.063832,40.678145,-73.944467,1860-12-05
Jewell; Harvey; Kendall; C.S.,Whitman; Walt,5,1,42.358761,-71.063832,40.678145,-73.944467,1861-02-06
Thayer; William Wilde,Whitman; Walt,5,1,42.358761,-71.063832,40.678145,-73.944467,1861-04-19
Whitman; Walt,Whitman; George Washington,1,2,40.678145,-73.944467,37.113553,-76.486965,1861-07-12
Whitman; Walt,Lowell; James Russell,1,5,40.678145,-73.944467,42.358761,-71.063832,1861-10-01
Whitman; Walt,Lowell; James Russell,1,5,40.678145,-73.944467,42.358761,-71.063832,1861-10-02
Editors of the Atlantic Monthly,Whitman; Walt,5,1,42.358761,-71.063832,40.678145,-73.944467,1861-10-10
Whitman; Walt,Breese; Samuel Livingston,1,4,40.678145,-73.944467,40.678145,-73.944467,1861-11-01
Soule; Silas S.,Whitman; Walt,4,1,39.739236,-104.990251,40.678145,-73.944467,1862-01-08
Soule; Silas S.,Whitman; Walt,4,1,39.739236,-104.990251,40.678145,-73.944467,1862-03-12
Eyre; Ellen,Whitman; Walt,3,1,40.680048,-73.94318,40.678145,-73.944467,1862-03-25
Vaughan; Fred,Whitman; Walt,3,1,42.358761,-71.063832,40.678145,-73.944467,1862-05-02
Redpath; James,Whitman; Walt,3,1,42.358761,-71.063832,40.678145,-73.944467,1862-05-26
Thayer; William Wilde,Whitman; Walt,3,1,42.358761,-71.063832,40.678145,-73.944467,1862-08-31
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1862-12-19
Whitman; Walt,Emerson; Ralph Waldo,1,3,38.896177,-77.036476,42.886156,-78.876677,1862-12-29
Whitman; Walt,Whitman; Louisa Van Velsor,1,2,38.896177,-77.036476,40.678145,-73.944467,1862-12-29
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-01-01
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-01-03
Emerson; Ralph Waldo,Whitman; Walt,3,1,42.886156,-78.876677,38.896177,-77.036476,1863-01-12
Whitman; George Washington,Whitman; Walt,2,1,37.113553,-76.486965,38.896177,-77.036476,1863-01-13
Wood; George,Whitman; Walt,3,1,38.896177,-77.036476,38.896177,-77.036476,1863-01-15
Whitman; Walt,Whitman; Thomas Jefferson,1,2,38.896177,-77.036476,40.678145,-73.944467,1863-01-16
Whitman; Walt,Wood; George,1,3,38.896177,-77.036476,38.896177,-77.036476,1863-01-17
Whitman; Walt,Emerson; Ralph Waldo,1,3,38.896177,-77.036476,42.886156,-78.876677,1863-01-17
Lane; Moses,Whitman; Walt,3,1,40.678145,-73.944467,38.896177,-77.036476,1863-01-26
Whitman; George Washington,Whitman; Walt,2,1,37.113553,-76.486965,38.896177,-77.036476,1863-02-01
Whitman; George Washington,Whitman; Walt,2,1,37.113553,-76.486965,38.896177,-77.036476,1863-02-06
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-02-06
Whitman; Walt,Whitman; Louisa Van Velsor,1,2,38.896177,-77.036476,40.678145,-73.944467,1863-02-06
Whitman; Walt,Whitman; Louisa Van Velsor,1,2,38.896177,-77.036476,40.678145,-73.944467,1863-02-09
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-02-10
Whitman; George Washington,Whitman; Walt,2,1,37.113553,-76.486965,38.896177,-77.036476,1863-02-12
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-02-12
Whitman; Walt,Whitman; Thomas Jefferson,1,2,38.896177,-77.036476,40.678145,-73.944467,1863-02-13
Whitman; Walt,Swinton; John,1,5,38.896177,-77.036476,40.680048,-73.94318,1863-02-23
Whitman; George Washington,Whitman; Walt,2,1,37.113553,-76.486965,38.896177,-77.036476,1863-02-25
Swinton; John,Whitman; Walt,5,1,40.680048,-73.94318,38.896177,-77.036476,1863-02-25
Harpers Weekly,Whitman; Walt,5,1,40.680048,-73.94318,38.896177,-77.036476,1863-02-26
Whitman; Louisa Van Velsor,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-03-01
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-03-03
Whitman; Walt,Whitman; Thomas Jefferson,1,2,38.896177,-77.036476,40.678145,-73.944467,1863-03-06
Whitman; Walt,Whitman; Louisa Van Velsor,1,2,38.896177,-77.036476,40.678145,-73.944467,1863-03-08
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-03-09
Redpath; James,Whitman; Walt,3,1,42.358761,-71.063832,38.896177,-77.036476,1863-03-10
Boyd; Justus F.,Whitman; Walt,4,1,42.735414,-83.982419,38.896177,-77.036476,1863-03-10
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-03-12
Whitman; Walt,Whitman; Thomas Jefferson,1,2,38.896177,-77.036476,40.678145,-73.944467,1863-03-18
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-03-19
Whitman; Walt,Bloom; Nathaniel; Gray; John F. S.,1,3,38.896177,-77.036476,40.680048,-73.94318,1863-03-19
Whitman; Louisa Van Velsor,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-03-19
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-03-21
Kingsley; Charles S.,Whitman; Walt,3,1,40.680048,-73.94318,38.896177,-77.036476,1863-03-21
Whitman; Walt,Whitman; Louisa Van Velsor,1,2,38.896177,-77.036476,40.678145,-73.944467,1863-03-31
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-04-02
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-04-03
Wallace; Will W.,Whitman; Walt,3,1,36.162664,-86.781602,38.896177,-77.036476,1863-04-05
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-04-06
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-04-11
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-04-13
Whitman; Walt,Whitman; Louisa Van Velsor,1,2,38.896177,-77.036476,40.678145,-73.944467,1863-04-15
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-04-20
Whitman; Walt,Sawyer; Thomas P.,1,4,38.896177,-77.036476,40.680048,-73.94318,1863-04-21
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-04-25
Sawyer; Thomas P.,Whitman; Walt,4,1,40.680048,-73.94318,38.896177,-77.036476,1863-04-26
Whitman; Walt,Sawyer; Thomas P.,1,4,38.896177,-77.036476,40.680048,-73.94318,1863-04-26
Boyd; Justus F.,Whitman; Walt,4,1,42.735414,-83.982419,38.896177,-77.036476,1863-04-27
Whitman; Walt,Whitman; Louisa Van Velsor,1,2,38.896177,-77.036476,40.678145,-73.944467,1863-04-28
McReady; Fred B.,Whitman; Walt,4,1,37.990138,-84.179672,38.896177,-77.036476,1863-04-29
Whitman; Louisa Van Velsor,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-04-29
Gray; John F.S.,Whitman; Walt,4,1,40.680048,-73.94318,38.896177,-77.036476,1863-05-01
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-05-02
Whitman; Walt,Whitman; Louisa Van Velsor,1,2,38.896177,-77.036476,40.678145,-73.944467,1863-05-05
Redpath; James,Whitman; Walt,3,1,42.358761,-71.063832,38.896177,-77.036476,1863-05-05
Wallace; Will W.,Whitman; Walt,3,1,40.680048,-73.94318,38.896177,-77.036476,1863-05-07
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-05-09
Whitman; Walt,Lane; Moses,1,3,38.896177,-77.036476,40.678145,-73.944467,1863-05-11
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-05-12
Whitman; Walt,Whitman; Louisa Van Velsor,1,2,38.896177,-77.036476,40.678145,-73.944467,1863-05-13
Whitman; Walt,Wyckoff; Nicholas; Northrup; Daniel L.,1,5,38.896177,-77.036476,40.678145,-73.944467,1863-05-14
Boyd; Justus F.,Whitman; Walt,4,1,42.735414,-83.982419,38.896177,-77.036476,1863-05-14
Whitman; Walt,Whitman; Louisa Van Velsor,1,2,38.896177,-77.036476,40.678145,-73.944467,1863-05-19
Whitman; Walt,Whitman; Louisa Van Velsor,1,2,38.896177,-77.036476,40.678145,-73.944467,1863-05-26
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-05-27
Lane; Moses,Whitman; Walt,3,1,40.678145,-73.944467,38.896177,-77.036476,1863-05-27
Whitman; Walt,Sawyer; Thomas P.,1,4,38.896177,-77.036476,40.680048,-73.94318,1863-05-27
Barker; John J.,Whitman; Walt,4,1,36.162664,-86.781602,38.896177,-77.036476,1863-06-05
Whitman; Walt,Whitman; Louisa Van Velsor,1,2,38.896177,-77.036476,40.678145,-73.944467,1863-06-09
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-06-13
Barker; John J.,Whitman; Walt,4,1,36.162664,-86.781602,38.896177,-77.036476,1863-06-19
Whitman; Walt,Whitman; Louisa Van Velsor,1,2,38.896177,-77.036476,40.678145,-73.944467,1863-06-22
Whitman; Walt,Whitman; Louisa Van Velsor,1,2,38.896177,-77.036476,40.678145,-73.944467,1863-06-30
Wallace; Will W.,Whitman; Walt,3,1,36.162664,-86.781602,38.896177,-77.036476,1863-07-01
Whitman; Louisa Van Velsor,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-07-01
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-07-07
Whitman; Walt,Whitman; Louisa Van Velsor,1,2,38.896177,-77.036476,40.678145,-73.944467,1863-07-07
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-07-08
Whitman; Walt,Whitman; Louisa Van Velsor,1,2,38.896177,-77.036476,40.678145,-73.944467,1863-07-10
Brown; Lewis K.,Whitman; Walt,4,1,38.896177,-77.036476,38.896177,-77.036476,1863-07-10
Whitman; Walt,Whitman; Louisa Van Velsor,1,2,38.896177,-77.036476,40.678145,-73.944467,1863-07-15
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-07-19
Small; Alvah H.,Whitman; Walt,4,1,41.24119,-77.001079,38.896177,-77.036476,1863-07-24
Whitman; Walt,Haskell; Samuel B.,1,4,38.896177,-77.036476,43.48,-72.386568,1863-07-27
Brown; Lewis K.,Whitman; Walt,4,1,38.896177,-77.036476,38.896177,-77.036476,1863-07-27
Whitman; Walt,Whitman; Louisa Van Velsor,1,2,38.896177,-77.036476,40.678145,-73.944467,1863-07-28
Vandemark; William E.,Whitman; Walt,4,1,43.16103,-77.610922,38.896177,-77.036476,1863-07-31
Whitman; Walt,Brown; Lewis K.,1,4,38.896177,-77.036476,38.896177,-77.036476,1863-08-01
Whitman; Walt,Sawyer; Thomas P.,1,4,38.896177,-77.036476,40.680048,-73.94318,1863-08-01
Whitman; Louisa Van Velsor,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-08-01
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-08-04
Whitman; Walt,Redpath; James,1,3,38.896177,-77.036476,42.358761,-71.063832,1863-08-06
Whitman; Walt,Fritsch; Hugo,1,4,38.896177,-77.036476,40.680048,-73.94318,1863-08-07
Whitman; Walt,Haskell; Samuel B.,1,4,38.896177,-77.036476,43.48,-72.386568,1863-08-10
Brown; Lewis K.,Whitman; Walt,4,1,38.896177,-77.036476,38.896177,-77.036476,1863-08-10
Whitman; Walt,Whitman; Louisa Van Velsor,1,2,38.896177,-77.036476,40.678145,-73.944467,1863-08-11
Whitman; Walt,Brown; Lewis K.,1,4,38.896177,-77.036476,38.896177,-77.036476,1863-08-11
Whitman; Walt,Bloom; Nathaniel,1,3,38.896177,-77.036476,40.680048,-73.94318,1863-08-15
Whitman; Walt,Brown; Lewis K.,1,4,38.896177,-77.036476,38.896177,-77.036476,1863-08-15
Vandemark; William E.,Whitman; Walt,4,1,43.16103,-77.610922,38.896177,-77.036476,1863-08-17
Whitman; Walt,Whitman; Louisa Van Velsor,1,2,38.896177,-77.036476,40.678145,-73.944467,1863-08-18
Babbitt; Mary A.; Babbitt; Caleb H.,Whitman; Walt,4,1,42.422905,-72.1051,38.896177,-77.036476,1863-08-18
Brown; Lewis K.,Whitman; Walt,4,1,38.896177,-77.036476,38.896177,-77.036476,1863-08-22
Whitman; Walt,Whitman; Louisa Van Velsor,1,2,38.896177,-77.036476,40.678145,-73.944467,1863-08-25
Scott; C.L.,Whitman; Walt,4,1,38.896177,-77.036476,38.896177,-77.036476,1863-08-31
Whitman; Walt,Whitman; Louisa Van Velsor,1,2,38.896177,-77.036476,40.678145,-73.944467,1863-09-01
Whitman; Walt,Babbitt; Mary A.,1,3,38.896177,-77.036476,42.422905,-72.1051,1863-09-03
Whitman; Louisa Van Velsor,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-09-03
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-09-05
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-09-05
Whitman; Walt,Bloom; Nathaniel,1,3,38.896177,-77.036476,40.680048,-73.94318,1863-09-05
Babbitt; Mary A.,Whitman; Walt,4,1,42.422905,-72.1051,38.896177,-77.036476,1863-09-06
Whitman; Walt,Gregg; Miss,1,3,38.896177,-77.036476,38.896177,-77.036476,1863-09-07
Whitman; Walt,Whitman; Louisa Van Velsor,1,2,38.896177,-77.036476,40.678145,-73.944467,1863-09-08
Whitman; Walt,Haskell; Samuel B.,1,4,38.896177,-77.036476,43.48,-72.386568,1863-09-09
Whitman; Walt,Whitman; Louisa Van Velsor,1,2,38.896177,-77.036476,40.678145,-73.944467,1863-09-15
Whitman; Walt,Smith; Bethuel,1,4,38.896177,-77.036476,40.201009,-77.200272,1863-09-16
Smith; Bethuel,Whitman; Walt,4,1,40.201009,-77.200272,38.896177,-77.036476,1863-09-17
Smith; Bethuel,Whitman; Walt,4,1,40.201009,-77.200272,38.896177,-77.036476,1863-09-17
Whitman; Walt,Whitman; Louisa Van Velsor,1,2,38.896177,-77.036476,40.678145,-73.944467,1863-09-18
Babbitt; Caleb H.,Whitman; Walt,4,1,42.422905,-72.1051,38.896177,-77.036476,1863-09-18
Russell; Le Baron,Whitman; Walt,3,1,42.358761,-71.063832,38.896177,-77.036476,1863-09-21
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-09-22
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-09-24
Whitman; Louisa Van Velsor,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-09-25
Smith; Bethuel,Whitman; Walt,4,1,40.201009,-77.200272,38.896177,-77.036476,1863-09-28
Whitman; Walt,Whitman; Louisa Van Velsor,1,2,38.896177,-77.036476,40.678145,-73.944467,1863-09-29
Whitman; Walt,Davis; William S.,1,3,38.896177,-77.036476,42.262593,-71.802293,1863-10-01
Curtis; Margaret S.,Whitman; Walt,3,1,42.358761,-71.063832,38.896177,-77.036476,1863-10-01
Whitman; Louisa Van Velsor,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-10-01
Whitman; Walt,Curtis; Margaret S.,1,3,38.896177,-77.036476,42.358761,-71.063832,1863-10-04
Russell; Le Baron,Whitman; Walt,3,1,42.358761,-71.063832,38.896177,-77.036476,1863-10-04
Whitman; Walt,Whitman; Louisa Van Velsor,1,2,38.896177,-77.036476,40.678145,-73.944467,1863-10-06
Russell; Le Baron,Whitman; Walt,3,1,42.358761,-71.063832,38.896177,-77.036476,1863-10-06
Stevenson; Hannah E.,Whitman; Walt,3,1,42.358761,-71.063832,38.896177,-77.036476,1863-10-06
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-10-07
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-10-08
Whitman; Walt,Fritsch; Hugo,1,4,38.896177,-77.036476,40.680048,-73.94318,1863-10-08
Whitman; Walt,Stevenson; Hannah E.,1,3,38.896177,-77.036476,42.358761,-71.063832,1863-10-08
Whitman; Walt,Redpath; James,1,3,38.896177,-77.036476,42.358761,-71.063832,1863-10-12
Whitman; Walt,Whitman; Louisa Van Velsor,1,2,38.896177,-77.036476,40.678145,-73.944467,1863-10-13
Smith; Bethuel,Whitman; Walt,4,1,38.896177,-77.036476,38.896177,-77.036476,1863-10-13
Stillwell; Julia,Whitman; Walt,3,1,39.952052,-75.161986,38.896177,-77.036476,1863-10-13
Redpath; James,Whitman; Walt,3,1,42.358761,-71.063832,38.896177,-77.036476,1863-10-14
Redpath; James,Whitman; Walt,3,1,42.358761,-71.063832,38.896177,-77.036476,1863-10-14
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-10-15
Babbitt; Caleb H.,Whitman; Walt,4,1,42.422905,-72.1051,38.896177,-77.036476,1863-10-18
Whitman; Walt,Whitman; Louisa Van Velsor,1,2,38.896177,-77.036476,40.678145,-73.944467,1863-10-20
Stillwell; John; Stillwell; Margaret,Whitman; Walt,3,1,39.952052,-75.161986,38.896177,-77.036476,1863-10-20
Whitman; Walt,Stilwell; Julia Elizabeth,1,3,38.896177,-77.036476,39.952052,-75.161986,1863-10-21
Whitman; Walt,Redpath; James,1,3,38.896177,-77.036476,42.358761,-71.063832,1863-10-21
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-10-22
Stillwell; Margaret,Whitman; Walt,3,1,39.952052,-75.161986,38.896177,-77.036476,1863-10-25
Childs; S.H.; Babbitt; Caleb H.,Whitman; Walt,4,1,42.358761,-71.063832,38.896177,-77.036476,1863-10-26
Whitman; Louisa Van Velsor,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-10-26
Whitman; Walt,Whitman; Louisa Van Velsor,1,2,38.896177,-77.036476,40.678145,-73.944467,1863-10-27
Whitman; Walt,Curtis; Margaret S.,1,3,38.896177,-77.036476,42.358761,-71.063832,1863-10-28
Redpath; James,Whitman; Walt,3,1,42.358761,-71.063832,38.896177,-77.036476,1863-10-28
Whitman; Louisa Van Velsor,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-11-01
Vandemark; William E.,Whitman; Walt,4,1,40.906102,-73.78521,38.896177,-77.036476,1863-11-02
Brown; Lewis K.,Whitman; Walt,4,1,38.896177,-77.036476,38.896177,-77.036476,1863-11-05
Fox; Elijah Douglass,Whitman; Walt,4,1,38.896177,-77.036476,38.896177,-77.036476,1863-11-07
Whitman; Walt,Brown; Lewis K.,1,4,40.678145,-73.944467,38.896177,-77.036476,1863-11-08
Russell; Le Baron,Whitman; Walt,3,1,42.358761,-71.063832,40.678145,-73.944467,1863-11-08
O'Connor; Ellen M.,Whitman; Walt,3,1,38.896177,-77.036476,40.678145,-73.944467,1863-11-10
Fox; Elijah Douglass,Whitman; Walt,4,1,38.896177,-77.036476,40.678145,-73.944467,1863-11-10
McFarland; William H.,Whitman; Walt,4,1,43.012498,-89.28984,40.678145,-73.944467,1863-11-11
Brown; Lewis K.,Whitman; Walt,4,1,40.678145,-73.944467,40.678145,-73.944467,1863-11-13
Whitman; Walt,O'Connor; Ellen M.,1,3,40.678145,-73.944467,38.896177,-77.036476,1863-11-15
Whitman; Walt,Eldridge; Charles W.,1,3,40.678145,-73.944467,42.358761,-71.063832,1863-11-17
Whitman; Walt,Sawyer; Thomas P.,1,4,40.678145,-73.944467,40.680048,-73.94318,1863-11-20
Whitman; Walt,Fox; Elijah Douglass,1,4,40.678145,-73.944467,42.2012,-85.58,1863-11-21
O'Connor; Ellen M.,Whitman; Walt,3,1,38.896177,-77.036476,40.678145,-73.944467,1863-11-21
Brooks; Livingston J.,Whitman; Walt,4,1,39.952584,-75.165222,40.678145,-73.944467,1863-11-21
O'Connor; Ellen M.,Whitman; Walt,3,1,38.896177,-77.036476,40.678145,-73.944467,1863-11-24
Whitman; Walt,Russell; Le Baron,1,3,38.896177,-77.036476,42.358761,-71.063832,1863-12-03
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-12-03
Whitman; Louisa Van Velsor,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-12-05
Whitman; Walt,Whitman; George Washington,1,2,38.896177,-77.036476,37.113553,-76.486965,1863-12-06
Vandemark; William E.,Whitman; Walt,4,1,40.906102,-73.78521,38.896177,-77.036476,1863-12-07
Fox; Elijah Douglass,Whitman; Walt,4,1,41.0192,-89.944,38.896177,-77.036476,1863-12-09
Shillaber; Benjamin Penhallow,Whitman; Walt,3,1,42.358761,-71.063832,38.896177,-77.036476,1863-12-10
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,38.896177,-77.036476,1863-12-15
Whitman; Walt,Whitman; Louisa Van Velsor,1,2,38.896177,-77.036476,40.678145,-73.944467,1863-12-15
Smith; Bethuel,Whitman; Walt,4,1,38.47336,-77.994393,38.896177,-77.036476,1863-12-16
Vandemark; William E.,Whitman; Walt,4,1,40.906102,-73.78521,38.896177,-77.036476,1863-12-16
Trowbridge; John T.,Whitman; Walt,3,1,42.358761,-71.063832,38.896177,-77.036476,1863-12-21
Brooks; Livingston J.,Whitman; Walt,4,1,39.952584,-75.165222,38.896177,-77.036476,1863-12-22
